City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,waitangi,-43.9535,-176.5597,289.16,93,3,9.06,1703138400
1,broken hill,-31.95,141.4333,301.94,16,12,7.57,1703138400
2,yellowknife,62.456,-114.3525,262.79,95,91,2.64,1703138400
3,yuzhno-kurilsk,44.0306,145.8556,270.58,76,18,6.01,1703138400
4,papatowai,-46.5619,169.4708,284.93,75,100,2.82,1703138400
5,port elizabeth,-33.918,25.5701,293.88,79,2,4.02,1703138400
6,athens,37.9795,23.7162,285.83,94,51,2.47,1703138400
7,lionel town,17.8101,-77.2406,299.09,82,1,3.55,1703138400
8,hadibu,12.65,54.0333,298.65,83,70,5.08,1703138400
9,west island,-12.1568,96.8225,302.14,65,37,6.37,1703138400
10,igarka,67.4667,86.5833,257.52,92,100,10.84,1703138400
11,jamestown,42.097,-79.2353,271.96,74,36,2.61,1703138400
12,port mathurin,-19.6833,63.4167,299.66,82,100,5.82,1703138400
13,port-aux-francais,-49.35,70.2167,280.16,89,88,12.8,1703138400
14,tiksi,71.6872,128.8694,251.32,90,65,5.8,1703138400
15,grytviken,-54.2811,-36.5092,275.57,84,81,4.92,1703138400
16,burang,30.25,81.1667,273.39,31,38,1.37,1703138400
17,lushun,38.8,121.2667,267.73,62,100,10.4,1703138400
18,blackmans bay,-43.0167,147.3167,292.17,58,91,1.26,1703138400
19,naliya,23.2667,68.8333,298.84,21,100,4.23,1703138400
20,hanzhong,33.0728,107.0303,279.57,38,20,0.9,1703138400
21,namibe,-15.1961,12.1522,295.74,76,91,4.57,1703138400
22,adamstown,-25.066,-130.1015,296.22,82,100,7.2,1703138400
23,bilibino,68.0546,166.4372,244.85,98,100,0.64,1703138400
24,cabo san lucas,22.8909,-109.9124,296.85,77,99,2.29,1703138400
25,taoudenni,22.6783,-3.9836,284.43,50,5,5.69,1703138400
26,anadyr,64.75,177.4833,248.15,75,97,4.38,1703138400
27,dossor,47.5272,52.9811,275.78,76,7,8.55,1703138400
28,bardai,11.65,7.2333,290.39,35,13,3.13,1703138400
29,mari,-7.06,-35.3194,297.6,92,63,8.19,1703138400
30,bethel,41.3712,-73.414,273.77,76,43,5.27,1703138400
31,ierapetra,35.01,25.7353,291.01,66,57,2.93,1703138400
32,albany,42.6001,-73.9662,273.32,80,82,3.45,1703138400
33,nuuk,64.1835,-51.7216,265.49,73,100,1.43,1703138400
34,amga,60.8953,131.9608,239.62,100,98,0.39,1703138400
35,wailua homesteads,22.0669,-159.378,294.62,84,100,6.81,1703138400
36,khanapur,15.6333,74.5167,301.29,40,66,0.13,1703138400
37,kawalu,-7.3817,108.2082,306.13,41,88,0.39,1703138400
38,xinhui,22.456,113.0482,287.74,38,5,7.06,1703138400
39,tshabong,-26.05,22.45,303.93,33,51,6.98,1703138400
40,maracacume,-2.0428,-45.9592,297.33,95,100,3.9,1703138400
41,badger,64.8,-147.5333,258.19,84,92,0.38,1703138400
42,hermanus,-34.4187,19.2345,291.57,68,2,10.26,1703138400
